"filename", "language", "JavaScript", "HTML", "JSON", "PostCSS", "MS SQL", "comment", "blank", "total"
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\BD\script.sql", "MS SQL", 0, 0, 0, 0, 158, 72, 26, 256
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\config\database.js", "JavaScript", 19, 0, 0, 0, 0, 2, 4, 25
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\config\email.js", "JavaScript", 9, 0, 0, 0, 0, 1, 4, 14
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\config\multer.js", "JavaScript", 44, 0, 0, 0, 0, 1, 9, 54
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\controllers\adminController.js", "JavaScript", 32, 0, 0, 0, 0, 1, 10, 43
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\controllers\contactController.js", "JavaScript", 62, 0, 0, 0, 0, 1, 5, 68
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\controllers\favoriteController.js", "JavaScript", 66, 0, 0, 0, 0, 2, 12, 80
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\controllers\productController.js", "JavaScript", 262, 0, 0, 0, 0, 11, 32, 305
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\controllers\reviewController.js", "JavaScript", 212, 0, 0, 0, 0, 3, 34, 249
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\controllers\statsController.js", "JavaScript", 36, 0, 0, 0, 0, 4, 6, 46
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\controllers\userController.js", "JavaScript", 88, 0, 0, 0, 0, 4, 20, 112
"c:\Users\LUIS MANUEL\Downloads\B2BWEB\PlataformaB2Bweb\js\Conexion.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
